id,name,rate,rate1,rate2,rate3
1067,Abbeville,0,0,0,0
1073,Adamsville,0,0,0,0
1117,Alabaster,0,0,0,0
1095,Albertville,0,0,0,0
1123,Alexander City,0,0,0,0
1107,Aliceville,0,0,0,0
1039,Andalusia,0,0,0,0
1015,Anniston,0,0,0,0
1043,Arab,0,0,0,0
1095,Arab,0,0,0,0
1115,Ashville,0,0,0,0
1083,Athens,0,0,0,0
1053,Atmore,0,0,0,0
1055,Attalla,0,0,0,0
1081,Auburn,0,0,0,0
1003,Bay Minette,2.93,5.06,4.5,6.01
1097,Bayou La Batre,3.15,5.36,4.56,6.23
1073,Bessemer,0,0,0,0
1073,Birmingham,0,0,0,0
1117,Birmingham,0,0,0,0
1055,Boaz,0,0,0,0
1095,Boaz,0,0,0,0
1007,Brent,0,0,0,0
1053,Brewton,0,0,0,0
1071,Bridgeport,0,0,0,0
1073,Brighton,0,0,0,0
1109,Brundidge,0,0,0,0
1021,Calera,0,0,0,0
1117,Calera,0,0,0,0
1131,Camden,0,0,0,0
1127,Carbon Hill,0,0,0,0
1073,Center Point,0,0,0,0
1019,Centre,0,0,0,0
1007,Centreville,0,0,0,0
1117,Chelsea,0,0,0,0
1097,Chickasaw,3.15,5.36,4.56,6.23
1121,Childersburg,0,0,0,0
1097,Citronelle,3.15,5.36,4.56,6.23
1021,Clanton,0,0,0,0
1073,Clay,0,0,0,0
1005,Clio,0,0,0,0
1117,Columbiana,0,0,0,0
1127,Cordova,0,0,0,0
1097,Creola,3.15,5.36,4.56,6.23
1043,Cullman,0,0,0,0
1123,Dadeville,0,0,0,0
1045,Daleville,0,0,0,0
1003,Daphne,2.93,5.06,4.5,6.01
1083,Decatur,0,0,0,0
1103,Decatur,0,0,0,0
1091,Demopolis,0,0,0,0
1127,Dora,0,0,0,0
1045,Dothan,0,0,0,0
1067,Dothan,0,0,0,0
1069,Dothan,0,0,0,0
1053,East Brewton,0,0,0,0
1031,Elba,0,0,0,0
1031,Enterprise,0,0,0,0
1045,Enterprise,0,0,0,0
1005,Eufaula,0,0,0,0
1035,Evergreen,0,0,0,0
1073,Fairfield,0,0,0,0
1003,Fairhope,2.93,5.06,4.5,6.01
1057,Fayette,0,0,0,0
1077,Florence,0,0,0,0
1003,Foley,2.93,5.06,4.5,6.01
1049,Fort Payne,0,0,0,0
1073,Fultondale,0,0,0,0
1055,Gadsden,0,0,0,0
1073,Gardendale,0,0,0,0
1061,Geneva,0,0,0,0
1015,Glencoe,0,0,0,0
1055,Glencoe,0,0,0,0
1073,Graysville,0,0,0,0
1065,Greensboro,0,0,0,0
1013,Greenville,0,0,0,0
1093,Guin,0,0,0,0
1003,Gulf Shores,2.93,5.06,4.5,6.01
1095,Guntersville,0,0,0,0
1093,Haleyville,0,0,0,0
1133,Haleyville,0,0,0,0
1093,Hamilton,0,0,0,0
1043,Hanceville,0,0,0,0
1061,Hartford,0,0,0,0
1103,Hartselle,0,0,0,0
1067,Headland,0,0,0,0
1029,Heflin,0,0,0,0
1073,Helena,0,0,0,0
1117,Helena,0,0,0,0
1049,Henagar,0,0,0,0
1055,Hokes Bluff,0,0,0,0
1073,Homewood,0,0,0,0
1073,Hoover,0,0,0,0
1117,Hoover,0,0,0,0
1073,Hueytown,0,0,0,0
1083,Huntsville,0,0,0,0
1089,Huntsville,0,0,0,0
1117,Indian Springs Village,0,0,0,0
1073,Irondale,0,0,0,0
1025,Jackson,0,0,0,0
1015,Jacksonville,0,0,0,0
1127,Jasper,0,0,0,0
1021,Jemison,0,0,0,0
1017,La Fayette,0,0,0,0
1017,Lanett,0,0,0,0
1073,Leeds,0,0,0,0
1115,Leeds,0,0,0,0
1117,Leeds,0,0,0,0
1121,Lincoln,0,0,0,0
1091,Linden,0,0,0,0
1027,Lineville,0,0,0,0
1073,Lipscomb,0,0,0,0
1119,Livingston,0,0,0,0
1041,Luverne,0,0,0,0
1083,Madison,0,0,0,0
1089,Madison,0,0,0,0
1105,Marion,0,0,0,0
1073,Midfield,0,0,0,0
1001,Millbrook,0,0,0,0
1051,Millbrook,0,0,0,0
1097,Mobile,3.15,5.36,4.56,6.23
1099,Monroeville,0,0,0,0
1117,Montevallo,0,0,0,0
1101,Montgomery,0,0,0,0
1115,Moody,0,0,0,0
1079,Moulton,0,0,0,0
1073,Mountain Brook,0,0,0,0
1033,Muscle Shoals,0,0,0,0
1089,New Hope,0,0,0,0
1125,Northport,0,0,0,0
1009,Oneonta,0,0,0,0
1081,Opelika,0,0,0,0
1039,Opp,0,0,0,0
1003,Orange Beach,2.93,5.06,4.5,6.01
1015,Oxford,0,0,0,0
1121,Oxford,0,0,0,0
1045,Ozark,0,0,0,0
1117,Pelham,0,0,0,0
1115,Pell City,0,0,0,0
1081,Phenix City,0,0,0,0
1113,Phenix City,0,0,0,0
1015,Piedmont,0,0,0,0
1019,Piedmont,0,0,0,0
1073,Pinson,0,0,0,0
1073,Pleasant Grove,0,0,0,0
1001,Prattville,0,0,0,0
1051,Prattville,0,0,0,0
1097,Prichard,3.15,5.36,4.56,6.23
1055,Rainbow City,0,0,0,0
1049,Rainsville,0,0,0,0
1059,Red Bay,0,0,0,0
1111,Roanoke,0,0,0,0
1003,Robertsdale,2.93,5.06,4.5,6.01
1059,Russellville,0,0,0,0
1061,Samson,0,0,0,0
1097,Saraland,3.15,5.36,4.56,6.23
1097,Satsuma,3.15,5.36,4.56,6.23
1071,Scottsboro,0,0,0,0
1047,Selma,0,0,0,0
1033,Sheffield,0,0,0,0
1061,Slocomb,0,0,0,0
1081,Smiths Station,0,0,0,0
1015,Southside,0,0,0,0
1055,Southside,0,0,0,0
1003,Spanish Fort,2.93,5.06,4.5,6.01
1115,Springville,0,0,0,0
1071,Stevenson,0,0,0,0
1075,Sulligent,0,0,0,0
1073,Sumiton,0,0,0,0
1127,Sumiton,0,0,0,0
1121,Sylacauga,0,0,0,0
1121,Talladega,0,0,0,0
1051,Tallassee,0,0,0,0
1123,Tallassee,0,0,0,0
1073,Tarrant,0,0,0,0
1025,Thomasville,0,0,0,0
1109,Troy,0,0,0,0
1073,Trussville,0,0,0,0
1115,Trussville,0,0,0,0
1125,Tuscaloosa,0,0,0,0
1033,Tuscumbia,0,0,0,0
1087,Tuskegee,0,0,0,0
1011,Union Springs,0,0,0,0
1017,Valley,0,0,0,0
1047,Valley Grande,0,0,0,0
1075,Vernon,0,0,0,0
1073,Vestavia Hills,0,0,0,0
1117,Vestavia Hills,0,0,0,0
1073,Warrior,0,0,0,0
1015,Weaver,0,0,0,0
1051,Wetumpka,0,0,0,0
1057,Winfield,0,0,0,0
1093,Winfield,0,0,0,0
1119,York,0,0,0,0
1001,Autauga,0,0,0,0
1003,Baldwin,2.93,5.06,4.5,6.01
1005,Barbour,0,0,0,0
1007,Bibb,0,0,0,0
1009,Blount,0,0,0,0
1011,Bullock,0,0,0,0
1013,Butler,0,0,0,0
1015,Calhoun,0,0,0,0
1017,Chambers,0,0,0,0
1019,Cherokee,0,0,0,0
1021,Chilton,0,0,0,0
1023,Choctaw,0,0,0,0
1025,Clarke,0,0,0,0
1027,Clay,0,0,0,0
1029,Cleburne,0,0,0,0
1031,Coffee,0,0,0,0
1033,Colbert,0,0,0,0
1035,Conecuh,0,0,0,0
1037,Coosa,0,0,0,0
1039,Covington,0,0,0,0
1041,Crenshaw,0,0,0,0
1043,Cullman,0,0,0,0
1045,Dale,0,0,0,0
1047,Dallas,0,0,0,0
1049,DeKalb,0,0,0,0
1051,Elmore,0,0,0,0
1053,Escambia,0,0,0,0
1055,Etowah,0,0,0,0
1057,Fayette,0,0,0,0
1059,Franklin,0,0,0,0
1061,Geneva,0,0,0,0
1063,Greene,0,0,0,0
1065,Hale,0,0,0,0
1067,Henry,0,0,0,0
1069,Houston,0,0,0,0
1071,Jackson,0,0,0,0
1073,Jefferson,0,0,0,0
1075,Lamar,0,0,0,0
1077,Lauderdale,0,0,0,0
1079,Lawrence,0,0,0,0
1081,Lee,0,0,0,0
1083,Limestone,0,0,0,0
1085,Lowndes,0,0,0,0
1087,Macon,0,0,0,0
1089,Madison,0,0,0,0
1091,Marengo,0,0,0,0
1093,Marion,0,0,0,0
1095,Marshall,0,0,0,0
1097,Mobile,3.15,5.36,4.56,6.23
1099,Monroe,0,0,0,0
1101,Montgomery,0,0,0,0
1103,Morgan,0,0,0,0
1105,Perry,0,0,0,0
1107,Pickens,0,0,0,0
1109,Pike,0,0,0,0
1111,Randolph,0,0,0,0
1113,Russell,0,0,0,0
1117,Shelby,0,0,0,0
1115,St. Clair,0,0,0,0
1119,Sumter,0,0,0,0
1121,Talladega,0,0,0,0
1123,Tallapoosa,0,0,0,0
1125,Tuscaloosa,0,0,0,0
1127,Walker,0,0,0,0
1129,Washington,0,0,0,0
1131,Wilcox,0,0,0,0
1133,Winston,0,0,0,0
1097,MOWA Choctaw,3.15,5.36,4.56,6.23
1129,MOWA Choctaw,0,0,0,0
1051,Poarch Creek,0,0,0,0
1053,Poarch Creek,0,0,0,0
1099,Poarch Creek,0,0,0,0
1101,Poarch Creek,0,0,0,0
1069,Cher-O-Creek,0,0,0,0
1095,Cherokee Tribe of Northeast Alabama,0,0,0,0
1043,Echota Cherokee,0,0,0,0
1079,Echota Cherokee,0,0,0,0
1089,Echota Cherokee,0,0,0,0
1031,MaChis Lower Creek,0,0,0,0
1061,MaChis Lower Creek,0,0,0,0
1069,MaChis Lower Creek,0,0,0,0
1109,MaChis Lower Creek,0,0,0,0
1041,Star Muskogee Creek,0,0,0,0
1109,Star Muskogee Creek,0,0,0,0
1095,United Cherokee Ani-Yun-Wiya Nation,0,0,0,0
1133,Addison,0,0,0,0
1065,Akron,0,0,0,0
1009,Allgood,0,0,0,0
1009,Altoona,0,0,0,0
1055,Altoona,0,0,0,0
1077,Anderson,0,0,0,0
1083,Ardmore,0,0,0,0
1073,Argo,0,0,0,0
1115,Argo,0,0,0,0
1045,Ariton,0,0,0,0
1133,Arley,0,0,0,0
1069,Ashford,0,0,0,0
1027,Ashland,0,0,0,0
1001,Autaugaville,0,0,0,0
1069,Avon,0,0,0,0
1039,Babbie,0,0,0,0
1043,Baileyton,0,0,0,0
1005,Bakerhill,0,0,0,0
1109,Banks,0,0,0,0
1093,Bear Creek,0,0,0,0
1099,Beatrice,0,0,0,0
1075,Beaverton,0,0,0,0
1057,Belk,0,0,0,0
1085,Benton,0,0,0,0
1057,Berry,0,0,0,0
1001,Billingsley,0,0,0,0
1061,Black,0,0,0,0
1009,Blountsville,0,0,0,0
1005,Blue Springs,0,0,0,0
1063,Boligee,0,0,0,0
1121,Bon Air,0,0,0,0
1041,Brantley,0,0,0,0
1093,Brilliant,0,0,0,0
1073,Brookside,0,0,0,0
1125,Brookwood,0,0,0,0
1023,Butler,0,0,0,0
1123,Camp Hill,0,0,0,0
1073,Cardiff,0,0,0,0
1039,Carolina,0,0,0,0
1107,Carrollton,0,0,0,0
1035,Castleberry,0,0,0,0
1019,Cedar Bluff,0,0,0,0
1129,Chatom,0,0,0,0
1033,Cherokee,0,0,0,0
1045,Clayhatchee,0,0,0,0
1005,Clayton,0,0,0,0
1009,Cleveland,0,0,0,0
1125,Coaling,0,0,0,0
1061,Coffee Springs,0,0,0,0
1025,Coffeeville,0,0,0,0
1125,Coker,0,0,0,0
1019,Collinsville,0,0,0,0
1049,Collinsville,0,0,0,0
1043,Colony,0,0,0,0
1069,Columbia,0,0,0,0
1051,Coosada,0,0,0,0
1069,Cottonwood,0,0,0,0
1009,County Line,0,0,0,0
1073,County Line,0,0,0,0
1079,Courtland,0,0,0,0
1069,Cowarts,0,0,0,0
1049,Crossville,0,0,0,0
1119,Cuba,0,0,0,0
1017,Cusseta,0,0,0,0
1097,Dauphin Island,3.15,5.36,4.56,6.23
1123,Daviston,0,0,0,0
1091,Dayton,0,0,0,0
1051,Deatsville,0,0,0,0
1075,Detroit,0,0,0,0
1043,Dodge City,0,0,0,0
1133,Double Springs,0,0,0,0
1095,Douglas,0,0,0,0
1041,Dozier,0,0,0,0
1071,Dutton,0,0,0,0
1051,Eclectic,0,0,0,0
1029,Edwardsville,0,0,0,0
1003,Elberta,2.93,5.06,4.5,6.01
1127,Eldridge,0,0,0,0
1083,Elkmont,0,0,0,0
1051,Elmore,0,0,0,0
1119,Emelle,0,0,0,0
1119,Epes,0,0,0,0
1107,Ethelsville,0,0,0,0
1063,Eutaw,0,0,0,0
1103,Eva,0,0,0,0
1099,Excel,0,0,0,0
1043,Fairview,0,0,0,0
1103,Falkville,0,0,0,0
1091,Faunsdale,0,0,0,0
1017,Five Points,0,0,0,0
1053,Flomaton,0,0,0,0
1039,Florala,0,0,0,0
1063,Forkland,0,0,0,0
1085,Fort Deposit,0,0,0,0
1087,Franklin,0,0,0,0
1099,Frisco City,0,0,0,0
1029,Fruithurst,0,0,0,0
1025,Fulton,0,0,0,0
1049,Fyffe,0,0,0,0
1119,Gainesville,0,0,0,0
1039,Gantt,0,0,0,0
1009,Garden City,0,0,0,0
1043,Garden City,0,0,0,0
1019,Gaylesville,0,0,0,0
1119,Geiger,0,0,0,0
1013,Georgiana,0,0,0,0
1049,Geraldine,0,0,0,0
1023,Gilbertown,0,0,0,0
1057,Glen Allen,0,0,0,0
1093,Glen Allen,0,0,0,0
1041,Glenwood,0,0,0,0
1123,Goldville,0,0,0,0
1043,Good Hope,0,0,0,0
1037,Goodwater,0,0,0,0
1107,Gordo,0,0,0,0
1069,Gordon,0,0,0,0
1085,Gordonville,0,0,0,0
1109,Goshen,0,0,0,0
1095,Grant,0,0,0,0
1045,Grimes,0,0,0,0
1025,Grove Hill,0,0,0,0
1089,Gurley,0,0,0,0
1057,Gu-Win,0,0,0,0
1093,Gu-Win,0,0,0,0
1093,Hackleburg,0,0,0,0
1067,Haleburg,0,0,0,0
1049,Hammondville,0,0,0,0
1117,Harpersville,0,0,0,0
1009,Hayden,0,0,0,0
1085,Hayneville,0,0,0,0
1039,Heath,0,0,0,0
1009,Highland Lake,0,0,0,0
1079,Hillsboro,0,0,0,0
1015,Hobson City,0,0,0,0
1059,Hodges,0,0,0,0
1043,Holly Pond,0,0,0,0
1071,Hollywood,0,0,0,0
1039,Horn Hill,0,0,0,0
1113,Hurtsboro,0,0,0,0
1071,Hytop,0,0,0,0
1049,Ider,0,0,0,0
1123,Jacksons' Gap,0,0,0,0
1127,Kansas,0,0,0,0
1037,Kellyton,0,0,0,0
1075,Kennedy,0,0,0,0
1077,Killen,0,0,0,0
1073,Kimberly,0,0,0,0
1069,Kinsey,0,0,0,0
1031,Kinston,0,0,0,0
1125,Lake View,0,0,0,0
1049,Lakeview,0,0,0,0
1071,Langston,0,0,0,0
1019,Leesburg,0,0,0,0
1033,Leighton,0,0,0,0
1083,Lester,0,0,0,0
1045,Level Plains,0,0,0,0
1077,Lexington,0,0,0,0
1039,Libertyville,0,0,0,0
1023,Lisman,0,0,0,0
1033,Littleville,0,0,0,0
1081,Loachapoka,0,0,0,0
1039,Lockhart,0,0,0,0
1009,Locust Fork,0,0,0,0
1005,Louisville,0,0,0,0
1085,Lowndesboro,0,0,0,0
1003,Loxley,2.93,5.06,4.5,6.01
1133,Lynn,0,0,0,0
1069,Madrid,0,0,0,0
1003,Magnolia Springs,2.93,5.06,4.5,6.01
1061,Malvern,0,0,0,0
1021,Maplesville,0,0,0,0
1115,Margaret,0,0,0,0
1073,Maytown,0,0,0,0
1129,McIntosh,0,0,0,0
1013,McKenzie,0,0,0,0
1035,McKenzie,0,0,0,0
1107,McMullen,0,0,0,0
1107,Memphis,0,0,0,0
1049,Mentone,0,0,0,0
1045,Midland City,0,0,0,0
1011,Midway,0,0,0,0
1075,Millport,0,0,0,0
1129,Millry,0,0,0,0
1083,Mooresville,0,0,0,0
1073,Morris,0,0,0,0
1085,Mosses,0,0,0,0
1065,Moundville,0,0,0,0
1125,Moundville,0,0,0,0
1097,Mount Vernon,3.15,5.36,4.56,6.23
1073,Mulga,0,0,0,0
1121,Munford,0,0,0,0
1091,Myrtlewood,0,0,0,0
1045,Napier Field,0,0,0,0
1133,Natural Bridge,0,0,0,0
1127,Nauvoo,0,0,0,0
1133,Nauvoo,0,0,0,0
1009,Nectar,0,0,0,0
1023,Needham,0,0,0,0
1031,New Brockton,0,0,0,0
1123,New Site,0,0,0,0
1065,Newbern,0,0,0,0
1045,Newton,0,0,0,0
1067,Newville,0,0,0,0
1079,North Courtland,0,0,0,0
1073,North Johns,0,0,0,0
1081,Notasulga,0,0,0,0
1087,Notasulga,0,0,0,0
1121,Oak Grove,0,0,0,0
1131,Oak Hill,0,0,0,0
1127,Oakman,0,0,0,0
1115,Odenville,0,0,0,0
1015,Ohatchee,0,0,0,0
1039,Onycha,0,0,0,0
1047,Orrville,0,0,0,0
1089,Owens Cross Roads,0,0,0,0
1071,Paint Rock,0,0,0,0
1127,Parrish,0,0,0,0
1023,Pennington,0,0,0,0
1003,Perdido Beach,2.93,5.06,4.5,6.01
1041,Petrey,0,0,0,0
1059,Phil Campbell,0,0,0,0
1107,Pickensville,0,0,0,0
1101,Pike Road,0,0,0,0
1045,Pinckard,0,0,0,0
1131,Pine Apple,0,0,0,0
1131,Pine Hill,0,0,0,0
1049,Pine Ridge,0,0,0,0
1071,Pisgah,0,0,0,0
1071,Pleasant Groves,0,0,0,0
1053,Pollard,0,0,0,0
1049,Powell,0,0,0,0
1103,Priceville,0,0,0,0
1091,Providence,0,0,0,0
1115,Ragland,0,0,0,0
1029,Ranburne,0,0,0,0
1039,Red Level,0,0,0,0
1055,Reece City,0,0,0,0
1107,Reform,0,0,0,0
1069,Rehobeth,0,0,0,0
1035,Repton,0,0,0,0
1055,Ridgeville,0,0,0,0
1039,River Falls,0,0,0,0
1115,Riverside,0,0,0,0
1053,Riverview,0,0,0,0
1037,Rockford,0,0,0,0
1077,Rogersville,0,0,0,0
1009,Rosa,0,0,0,0
1041,Rutledge,0,0,0,0
1019,Sand Rock,0,0,0,0
1049,Sand Rock,0,0,0,0
1039,Sanford,0,0,0,0
1055,Sardis City,0,0,0,0
1095,Sardis City,0,0,0,0
1071,Section,0,0,0,0
1049,Shiloh,0,0,0,0
1087,Shorter,0,0,0,0
1023,Silas,0,0,0,0
1003,Silverhill,2.93,5.06,4.5,6.01
1127,Sipsey,0,0,0,0
1071,Skyline,0,0,0,0
1009,Snead,0,0,0,0
1103,Somerville,0,0,0,0
1043,South Vinemont,0,0,0,0
1077,St. Florian,0,0,0,0
1115,Steele,0,0,0,0
1003,Summerdale,2.93,5.06,4.5,6.01
1009,Susan Moore,0,0,0,0
1091,Sweet Water,0,0,0,0
1073,Sylvan Springs,0,0,0,0
1049,Sylvania,0,0,0,0
1121,Talladega Springs,0,0,0,0
1061,Taylor,0,0,0,0
1069,Taylor,0,0,0,0
1091,Thomaston,0,0,0,0
1021,Thorsby,0,0,0,0
1079,Town Creek,0,0,0,0
1023,Toxey,0,0,0,0
1009,Trafford,0,0,0,0
1073,Trafford,0,0,0,0
1089,Triana,0,0,0,0
1103,Trinity,0,0,0,0
1093,Twin,0,0,0,0
1063,Union,0,0,0,0
1095,Union Grove,0,0,0,0
1105,Uniontown,0,0,0,0
1049,Valley Head,0,0,0,0
1007,Vance,0,0,0,0
1125,Vance,0,0,0,0
1059,Vina,0,0,0,0
1115,Vincent,0,0,0,0
1117,Vincent,0,0,0,0
1121,Vincent,0,0,0,0
1099,Vredenburgh,0,0,0,0
1111,Wadley,0,0,0,0
1121,Waldo,0,0,0,0
1055,Walnut Grove,0,0,0,0
1077,Waterloo,0,0,0,0
1017,Waverly,0,0,0,0
1081,Waverly,0,0,0,0
1069,Webb,0,0,0,0
1111,Wedowee,0,0,0,0
1007,West Blocton,0,0,0,0
1073,West Jefferson,0,0,0,0
1043,West Point,0,0,0,0
1117,Westover,0,0,0,0
1085,White Hall,0,0,0,0
1117,Wilsonville,0,0,0,0
1117,Wilton,0,0,0,0
1111,Woodland,0,0,0,0
1007,Woodstock,0,0,0,0
1125,Woodstock,0,0,0,0
1071,Woodville,0,0,0,0
1131,Yellow Bluff,0,0,0,0
1000,Alabama,0,0,0,0
9005,Bantam,0,0,0,0
9015,Danielson,0,0,0,0
9007,Fenwick,0.55,2.26,2.14,2.44
9011,Groton Long Point,0.64,2.33,2.17,2.6
9011,Jewett City,0.64,2.33,2.17,2.6
9005,Litchfield,0,0,0,0
9009,Naugatuck,0.74,2.39,2.24,2.57
9001,Newtown,0.71,2.36,2.21,2.52
9011,Stonington,0.64,2.33,2.17,2.6
9009,Woodmont,0.74,2.39,2.24,2.57
9009,Ansonia,0.74,2.39,2.24,2.57
9001,Bridgeport,0.71,2.36,2.21,2.52
9003,Bristol,0,0,0,0
9001,Danbury,0.71,2.36,2.21,2.52
9009,Derby,0.74,2.39,2.24,2.57
9011,Groton,0.64,2.33,2.17,2.6
9003,Hartford,0,0,0,0
9009,Meriden,0.74,2.39,2.24,2.57
9007,Middletown,0.55,2.26,2.14,2.44
9009,Milford,0.74,2.39,2.24,2.57
9003,New Britain,0,0,0,0
9009,New Haven,0.74,2.39,2.24,2.57
9011,New London,0.64,2.33,2.17,2.6
9001,Norwalk,0.71,2.36,2.21,2.52
9011,Norwich,0.64,2.33,2.17,2.6
9001,Shelton,0.71,2.36,2.21,2.52
9001,Stamford,0.71,2.36,2.21,2.52
9005,Torrington,0,0,0,0
9009,Waterbury,0.74,2.39,2.24,2.57
9009,West Haven,0.74,2.39,2.24,2.57
9001,Golden Hill Paugussett,0.71,2.36,2.21,2.52
9011,Golden Hill Paugussett,0.64,2.33,2.17,2.6
9011,Mashantucket Pequot,0.64,2.33,2.17,2.6
9011,Mohegan,0.64,2.33,2.17,2.6
9011,Paucatuck Eastern Pequot,0.64,2.33,2.17,2.6
9005,Schaghticoke,0,0,0,0
9013,Andover,0,0,0,0
9015,Ashford,0,0,0,0
9003,Avon,0,0,0,0
9005,Barkhamsted,0,0,0,0
9009,Beacon Falls,0.74,2.39,2.24,2.57
9003,Berlin,0,0,0,0
9009,Bethany,0.74,2.39,2.24,2.57
9001,Bethel,0.71,2.36,2.21,2.52
9005,Bethlehem,0,0,0,0
9003,Bloomfield,0,0,0,0
9013,Bolton,0,0,0,0
9011,Bozrah,0.64,2.33,2.17,2.6
9009,Branford,0.74,2.39,2.24,2.57
9005,Bridgewater,0,0,0,0
9001,Brookfield,0.71,2.36,2.21,2.52
9015,Brooklyn,0,0,0,0
9003,Burlington,0,0,0,0
9005,Canaan,0,0,0,0
9015,Canterbury,0,0,0,0
9003,Canton,0,0,0,0
9015,Chaplin,0,0,0,0
9009,Cheshire,0.74,2.39,2.24,2.57
9007,Chester,0.55,2.26,2.14,2.44
9007,Clinton,0.55,2.26,2.14,2.44
9011,Colchester,0.64,2.33,2.17,2.6
9005,Colebrook,0,0,0,0
9013,Columbia,0,0,0,0
9005,Cornwall,0,0,0,0
9013,Coventry,0,0,0,0
9007,Cromwell,0.55,2.26,2.14,2.44
9001,Darien,0.71,2.36,2.21,2.52
9007,Deep River,0.55,2.26,2.14,2.44
9007,Durham,0.55,2.26,2.14,2.44
9003,East Granby,0,0,0,0
9007,East Haddam,0.55,2.26,2.14,2.44
9007,East Hampton,0.55,2.26,2.14,2.44
9003,East Hartford,0,0,0,0
9009,East Haven,0.74,2.39,2.24,2.57
9011,East Lyme,0.64,2.33,2.17,2.6
9003,East Windsor,0,0,0,0
9015,Eastford,0,0,0,0
9001,Easton,0.71,2.36,2.21,2.52
9013,Ellington,0,0,0,0
9003,Enfield,0,0,0,0
9007,Essex,0.55,2.26,2.14,2.44
9001,Fairfield,0.71,2.36,2.21,2.52
9003,Farmington,0,0,0,0
9011,Franklin,0.64,2.33,2.17,2.6
9003,Glastonbury,0,0,0,0
9005,Goshen,0,0,0,0
9003,Granby,0,0,0,0
9001,Greenwich,0.71,2.36,2.21,2.52
9011,Griswold,0.64,2.33,2.17,2.6
9011,Groton,0.64,2.33,2.17,2.6
9009,Guilford,0.74,2.39,2.24,2.57
